Chromosome	startPosition	endPosition	typeNotZero	nrOfStateA	nrOfStateB	nrOfStateC	stateAToA	stateBToB	stateCToC	stateAToB	stateAToC	stateBToA	stateBToC	stateCToA	stateCToB	nrOfPolyType1	nrOfPolyType2	nrOfPolyType3	nrOfPolyType1And2	nrOfPolyType1And3	nrOfPolyType2And3	
1	23618372	23722540	218	17	3	9	14	2	6	0	2	0	1	2	1	256	84	21	25	25	1	
1	23722555	23802653	253	5	18	21	1	15	16	2	2	1	2	3	1	268	81	70	9	9	1	
1	23802761	23905321	247	11	23	11	7	17	5	2	2	1	4	3	3	220	24	78	1	1	0	
1	23905373	24021604	286	15	22	3	13	19	0	1	1	1	2	0	2	240	82	23	4	4	1	
1	24022081	24105440	218	5	24	11	0	20	5	1	3	2	2	3	3	265	188	16	10	10	3	
1	24105472	24187770	226	12	13	8	7	9	5	3	1	2	2	3	0	257	100	100	10	10	6	
1	24187946	24320245	206	2	32	14	0	28	11	2	0	0	3	2	1	215	110	128	17	17	6	
1	24320310	24420179	207	2	33	0	0	30	0	2	0	2	0	0	0	210	154	98	17	17	11	
1	24420414	24498351	222	48	14	14	45	12	12	1	1	1	1	2	0	229	49	105	2	2	0	
1	24498353	24575819	221	0	6	11	0	4	9	0	0	0	2	0	1	286	58	118	6	6	1	
1	24575853	24665441	273	3	9	3	2	6	1	1	0	0	2	0	2	334	31	54	2	2	1	
1	24665642	24775177	225	10	7	6	8	3	2	2	0	1	3	1	2	289	29	109	3	3	2	
1	24775194	24843445	220	3	3	5	1	1	3	0	1	1	1	0	2	261	53	319	4	4	8	
1	24843448	24921842	201	2	22	18	0	12	10	2	0	1	8	1	7	246	46	156	3	3	1	
1	24921957	25013291	164	8	15	13	3	7	8	3	2	4	3	0	5	197	96	52	17	17	8	
1	25013340	25093587	232	5	20	6	2	14	2	2	1	2	3	1	3	283	76	154	7	7	22	
1	25093598	25192659	146	12	15	45	7	9	39	2	3	3	3	1	4	139	15	22	1	1	2	
1	25192708	25367761	141	0	2	39	0	0	37	0	0	0	2	0	1	187	21	27	4	4	1	
1	25367872	25478983	243	16	10	3	11	4	0	3	2	4	1	1	2	280	27	83	2	2	1	
1	25479213	25621673	231	3	52	2	1	51	1	0	1	1	0	1	0	201	30	34	3	3	1	
1	25621674	25748247	216	4	8	4	2	4	1	1	1	1	2	1	2	290	84	41	7	7	3	
1	25748389	25867322	171	6	8	20	2	4	16	1	2	2	2	2	2	205	25	21	3	3	0	
1	25867325	25945510	163	0	7	50	0	5	48	0	0	0	2	0	1	213	14	18	5	5	2	
1	25945800	26077022	195	2	28	11	0	25	7	1	1	0	2	2	2	198	0	110	0	0	0	
1	26077061	26198392	164	2	25	6	1	22	4	1	0	1	1	0	2	158	16	193	9	9	5	
1	26198566	26307888	220	0	15	14	0	11	10	0	0	0	4	0	3	302	2	18	0	0	0	
1	26307944	26392481	232	3	13	19	0	10	15	0	2	1	2	1	3	329	25	27	4	4	0	
1	26392503	26475564	247	2	9	3	1	7	1	1	0	0	2	1	0	341	88	106	27	27	5	
1	26475584	26562850	252	1	16	3	0	13	1	0	1	1	1	0	2	333	97	56	31	31	3	
1	26562864	26661645	205	11	6	7	8	2	3	2	1	0	3	2	2	228	154	25	7	7	1	
1	26661685	26752592	261	1	19	2	0	16	1	1	0	1	1	0	1	249	29	313	0	0	1	
1	26752640	26839820	179	36	4	7	28	1	0	2	6	3	0	5	1	125	70	56	4	4	1	
1	26839927	26941476	242	0	0	7	0	0	6	0	0	0	0	0	0	343	154	31	26	26	6	
1	26941514	27069085	139	1	72	3	0	68	0	1	0	0	3	1	2	40	40	51	3	3	2	
1	27069614	27164456	172	2	16	23	0	12	19	1	1	1	3	1	2	159	91	122	10	10	2	
1	27164482	27247356	173	7	6	26	4	3	23	2	1	2	1	1	1	216	113	16	16	16	1	
1	27247391	27330546	153	10	12	12	7	9	8	1	2	0	2	2	2	209	36	86	4	4	1	
1	27330565	27420218	194	10	19	14	5	13	11	4	1	3	2	2	1	208	116	131	17	17	7	
1	27420228	27509937	172	0	5	7	0	3	4	0	0	0	2	0	2	236	114	165	19	19	11	
1	27510066	27615724	216	1	31	2	0	30	1	0	1	0	0	0	1	309	94	110	35	35	13	
1	27615866	27731615	212	3	32	12	0	27	10	2	0	3	2	0	2	203	35	105	4	4	1	
1	27731675	27823650	196	11	20	14	6	14	9	2	3	4	1	1	4	151	28	72	2	2	1	
1	27823703	27909255	246	5	69	2	3	65	1	2	0	2	1	0	1	205	23	112	0	0	0	
1	27909273	28017130	213	7	21	3	3	17	1	3	1	2	1	2	0	196	48	46	5	5	2	
1	28017176	28133385	179	0	7	16	0	5	14	0	0	0	2	0	1	179	65	141	3	3	0	
1	28134570	28243103	156	5	12	6	0	6	1	4	1	2	3	3	2	162	35	98	1	1	0	
1	28243106	28364956	180	38	16	7	27	4	5	10	1	10	1	0	2	146	33	16	3	3	0	
1	28365098	28490152	153	0	4	19	0	2	16	0	0	0	2	0	2	180	132	23	23	23	2	
1	28490276	28620185	193	12	14	18	6	10	11	0	6	3	1	3	3	227	31	21	2	2	1	
1	28620199	28765955	167	17	4	35	11	2	29	1	4	1	1	5	1	164	29	42	2	2	2	
1	28766163	28998249	156	0	20	1	0	18	0	0	0	0	1	0	1	158	45	54	2	2	1	
1	28998398	29113864	122	22	1	9	20	0	6	0	2	0	1	1	1	113	53	65	0	0	0	
1	29113943	29239835	167	2	12	9	0	9	8	2	0	1	1	0	1	174	51	89	3	3	1	
1	29239875	29349694	155	2	8	5	0	3	2	2	0	2	3	0	2	160	108	121	13	13	3	
1	29349743	29522640	193	11	6	10	8	3	7	1	2	1	1	2	1	202	50	29	6	6	4	
1	29522702	29686756	158	5	25	3	2	22	0	0	2	2	1	1	2	135	87	27	1	1	4	
1	29686802	29827950	157	2	12	4	0	9	1	0	2	2	1	0	2	156	79	124	9	9	7	
1	29828143	29961090	148	5	9	23	3	6	19	0	1	0	3	2	2	136	37	153	2	2	4	
1	29961131	30081306	182	8	45	4	6	42	2	1	1	1	1	0	2	150	25	40	3	3	2	
1	30081330	30189883	200	4	6	3	2	4	0	1	1	0	2	1	1	285	47	127	15	15	4	
1	30190072	30314728	141	3	2	100	0	0	96	0	3	1	0	2	2	137	52	76	1	1	1	
1	30314787	30412821	206	1	1	10	0	0	8	0	1	0	0	1	1	262	44	213	3	3	4	
1	30413021	30558342	172	21	36	35	15	27	29	3	3	5	3	1	5	107	20	19	0	0	2	
1	30559905	30706919	163	3	44	27	2	41	24	0	1	0	2	1	2	112	78	50	1	1	0	
1	30707073	30893747	168	6	31	4	2	27	3	3	0	3	1	1	0	111	156	48	3	3	5	
1	30893911	31061380	169	4	7	4	1	3	0	1	1	1	3	2	2	186	79	47	16	16	4	
1	31061397	31154575	154	16	13	10	12	10	7	1	2	2	1	2	1	138	55	44	7	7	1	
1	31154594	31299521	206	0	2	1	0	0	0	0	0	0	1	0	1	241	10	193	3	3	2	
1	31299536	31436077	178	6	23	1	3	20	0	2	0	2	1	1	0	181	38	93	0	0	2	
1	31436107	31540111	136	35	25	6	30	21	3	2	3	3	0	1	2	19	88	11	0	0	0	
1	31540250	31625972	165	6	22	9	2	18	5	2	2	1	2	2	2	94	81	162	0	0	2	
1	31626174	31688626	241	1	7	20	0	4	18	0	1	1	1	0	2	348	39	88	2	2	1	
1	31688639	31766266	260	9	22	13	5	17	10	3	1	3	2	0	2	316	51	163	10	10	6	
1	31766284	31835833	265	13	25	10	8	18	4	3	2	3	3	2	4	297	54	104	4	4	0	
1	31835902	31905398	257	5	18	2	1	13	0	3	0	3	2	0	2	293	89	169	24	24	1	
1	31905540	31992054	199	30	46	11	22	38	5	5	3	5	2	3	3	142	44	95	1	1	0	
1	31992058	32082715	229	0	8	18	0	7	17	0	0	0	0	0	1	335	134	172	24	24	6	
1	32082745	32157560	273	12	30	7	8	24	2	2	2	2	3	2	3	296	52	94	2	2	1	
1	32157646	32222059	244	6	7	4	3	3	1	2	0	2	2	1	2	299	32	145	6	6	2	
1	32222144	32292392	260	2	5	5	0	3	4	2	0	1	1	0	0	347	69	287	25	25	13	
1	32292407	32357687	237	0	2	4	0	1	3	0	0	0	0	0	1	329	98	169	24	24	14	
1	32357713	32426575	167	1	12	26	0	9	23	1	0	0	3	1	1	205	63	206	8	8	5	
1	32426765	32497441	197	8	36	9	5	28	2	1	1	3	5	0	7	195	118	47	21	21	8	
1	32497460	32578895	223	3	17	12	1	10	4	1	1	0	7	2	5	275	51	181	4	4	3	
1	32579043	32647931	210	15	68	14	7	57	9	7	1	7	4	1	3	124	124	32	12	12	3	
1	32647970	32720665	149	2	6	13	1	4	12	1	0	1	0	0	1	246	202	161	49	49	61	
1	32720666	32783412	123	9	9	7	7	6	5	1	1	1	1	1	1	166	69	135	10	10	11	
1	32783428	32835880	294	11	39	8	8	38	5	0	2	1	0	2	1	361	8	15	3	3	4	
1	32835918	32904058	236	10	38	7	7	33	2	2	1	1	4	1	3	246	18	166	0	0	0	
1	32904069	32980425	240	2	30	12	0	22	6	2	0	2	6	0	5	276	28	133	1	1	1	
1	32980426	33052562	222	7	4	8	3	0	4	2	2	2	2	2	1	279	62	133	7	7	21	
1	33052627	33158398	179	15	2	11	11	0	6	1	3	1	1	3	1	247	71	141	29	29	7	
1	33158487	33285549	161	0	2	1	0	1	0	0	0	0	0	0	1	163	25	73	0	0	0	
1	33285621	33392106	240	13	18	0	10	15	0	3	0	2	0	0	0	291	77	77	11	11	5	
1	33392252	33483742	172	1	27	7	0	25	5	1	0	0	1	1	1	192	145	48	10	10	1	
1	33483772	33585301	199	1	3	2	0	0	0	0	0	1	2	0	2	267	83	6	12	12	2	
1	33585476	33690476	235	20	16	38	13	9	30	2	5	3	3	3	5	250	85	24	13	13	1	
1	33690521	33775024	273	3	19	0	1	17	0	1	0	2	0	0	0	299	24	87	4	4	1	
1	33775128	33864551	235	16	4	2	12	3	0	1	2	1	0	2	0	262	18	217	0	0	1	
1	33864554	33964292	210	5	12	6	3	11	3	0	2	0	1	2	0	273	78	58	16	16	0	
1	33964416	34067430	226	12	26	19	7	19	14	3	2	3	3	2	3	206	69	38	3	3	3	
1	34067442	34171239	194	0	55	0	0	54	0	0	0	0	0	0	0	126	31	191	1	1	0	
1	34171251	34320270	138	3	17	15	1	14	13	2	0	1	1	1	1	53	55	222	0	0	1	
1	34320284	34474302	127	4	32	12	0	28	7	1	2	1	3	3	2	51	64	121	1	1	1	
1	34474449	34648087	190	4	6	20	3	3	17	1	0	0	2	1	2	213	49	27	4	4	1	
1	34648185	34800369	239	23	15	21	18	12	15	1	4	1	2	3	2	247	27	47	4	4	2	
1	34800516	34944704	220	6	37	19	3	33	16	2	0	1	3	2	1	177	46	45	1	1	2	
1	34944747	35124643	150	1	14	9	0	11	6	0	1	1	1	0	3	103	12	106	2	2	2	
1	35124881	35249119	189	34	5	12	31	1	7	1	2	1	3	2	2	201	10	52	1	1	2	
1	35249136	35340874	224	2	42	9	0	35	4	1	1	2	4	0	5	277	110	59	68	68	5	
1	35340995	35436412	172	10	10	6	6	7	2	1	2	1	2	3	1	182	20	45	2	2	2	
1	35436447	35526147	215	5	25	0	3	23	0	2	0	1	0	0	0	210	26	62	1	1	0	
1	35526203	35633972	221	17	10	8	14	5	5	1	2	3	1	0	3	231	35	78	2	2	0	
1	35634052	35727605	258	18	6	6	13	2	3	2	3	3	0	2	1	293	53	154	1	1	0	
1	35727638	35802349	240	31	11	11	23	5	6	5	3	4	2	3	1	180	80	182	7	7	20	
1	35802431	35889856	170	30	17	31	20	9	22	5	5	4	4	6	2	70	53	162	4	4	4	
1	35889919	35971644	169	11	12	2	7	8	0	2	1	3	1	1	1	172	57	160	6	6	3	
1	35971687	36070978	159	8	13	1	6	12	0	1	1	0	0	1	0	167	24	137	1	1	0	
1	36070994	36150295	173	4	46	4	1	43	2	2	1	1	1	1	1	128	116	46	9	9	0	
1	36150317	36227232	188	1	21	3	0	19	0	0	1	0	1	1	2	210	128	111	6	6	2	
1	36227318	36308016	241	10	13	4	7	10	1	1	2	2	1	1	1	262	30	66	0	0	0	
1	36308022	36396455	211	17	5	5	15	3	3	1	0	0	2	2	0	278	201	36	56	56	8	
1	36396463	36510335	215	14	6	3	9	2	0	4	0	1	3	3	0	270	1	79	0	0	0	
1	36510495	36590577	192	19	12	30	14	8	23	1	4	2	2	3	3	184	69	7	8	8	0	
1	36590689	36672398	207	1	14	23	0	12	19	0	1	0	2	1	2	305	116	37	31	31	2	
1	36672542	36766509	178	7	11	5	5	6	1	2	0	0	4	2	2	193	58	66	2	2	1	
1	36766713	36852724	239	0	13	0	0	12	0	0	0	0	0	0	0	289	27	227	4	4	1	
1	36852732	36927935	183	9	12	23	4	8	19	2	2	2	2	3	1	208	116	65	22	22	5	
1	36928140	37004644	204	5	21	19	0	12	13	3	2	4	4	1	5	227	57	46	6	6	0	
1	37004742	37073747	207	29	7	12	23	2	10	4	1	4	1	1	1	243	16	136	2	2	0	
1	37073863	37192269	179	18	1	20	15	0	17	0	3	1	0	1	1	198	27	30	2	2	1	
1	37192277	37327128	237	0	6	3	0	3	1	0	0	0	2	0	2	342	32	20	6	6	1	
1	37327593	37497561	246	1	6	11	0	2	9	1	0	1	2	0	2	317	35	70	2	2	3	
1	37497584	37608393	249	26	5	1	23	3	0	1	1	2	0	1	0	240	36	8	1	1	0	
1	37608627	37742936	197	2	14	15	0	10	12	1	1	1	2	0	3	227	81	16	5	5	2	
1	37743108	37875700	234	2	7	5	0	4	3	1	1	1	1	0	2	320	46	72	1	1	2	
1	37875707	37965162	191	4	13	7	2	11	4	0	1	1	1	1	2	268	29	30	4	4	1	
1	37965252	38129510	172	1	39	6	0	35	4	1	0	1	2	0	2	157	50	35	2	2	3	
1	38129556	38308304	145	5	19	4	3	15	1	1	1	2	2	0	2	116	26	40	2	2	3	
1	38308398	38431951	225	9	9	8	5	5	5	2	2	2	1	2	1	206	19	61	0	0	0	
1	38432106	38586712	204	16	12	33	9	3	24	3	4	4	5	3	5	181	30	145	3	3	3	
1	38586742	38710200	174	0	24	9	0	21	6	0	0	0	2	0	3	161	198	70	7	7	8	
1	38710205	38808014	232	10	37	9	6	30	4	2	1	4	3	0	5	257	85	43	15	15	4	
1	38808026	38882989	265	5	38	14	1	32	9	1	3	3	2	1	4	288	72	57	12	12	3	
1	38883154	38971104	225	12	8	2	9	5	1	3	0	1	1	1	0	320	94	153	41	41	0	
1	38971432	39059742	220	14	16	3	9	11	0	2	2	4	1	1	2	220	15	64	1	1	1	
1	39059835	39151108	287	12	16	1	7	12	0	4	0	4	0	1	0	311	16	97	1	1	0	
1	39151109	39245399	277	2	17	1	1	16	0	0	1	1	0	0	0	318	62	55	12	12	1	
1	39245489	39337538	206	10	11	16	5	5	12	3	2	4	2	1	2	230	13	125	2	2	1	
1	39337587	39414082	259	10	9	3	7	6	0	2	1	1	1	2	1	295	39	107	3	3	6	
1	39414101	39487904	151	1	6	5	0	5	3	0	1	0	0	1	1	190	218	185	23	23	29	
1	39487926	39583387	159	7	10	10	5	7	8	1	1	2	1	0	1	194	96	100	4	4	9	
1	39583423	39677305	226	0	3	10	0	2	9	0	0	0	1	0	0	345	10	171	1	1	0	
1	39677338	39786159	210	5	14	4	2	10	1	1	2	2	1	1	2	279	59	59	15	15	4	
1	39786289	39886568	235	7	52	11	2	43	6	4	1	5	4	0	4	193	13	34	0	0	0	
1	39886659	39968312	216	3	17	26	2	9	20	1	0	1	6	0	6	238	65	75	6	6	2	
1	39968369	40059870	262	4	27	3	2	24	2	1	1	2	0	0	1	296	51	56	11	11	1	
1	40060026	40179614	293	8	94	0	3	89	0	5	0	4	0	0	0	209	34	40	2	2	0	
1	40179759	40350330	191	11	6	8	8	2	5	2	0	2	2	1	2	245	28	55	3	3	2	
1	40350342	40447481	203	1	1	10	0	0	8	0	0	0	1	1	1	292	113	131	37	37	11	
1	40447486	40530826	217	12	28	17	8	25	13	1	3	2	1	1	2	254	42	81	4	4	1	
1	40530869	40610651	211	19	17	24	13	10	18	4	2	3	4	2	3	219	34	28	4	4	1	
1	40610987	40717203	148	9	17	22	7	14	18	0	1	0	3	2	2	123	30	23	0	0	1	
1	40717319	40809806	255	9	5	16	4	2	12	2	3	1	1	3	1	296	8	124	0	0	0	
1	40809820	40891661	235	29	29	8	26	26	4	1	2	0	2	3	1	232	27	96	4	4	1	
1	40891671	40964778	250	1	23	6	0	21	3	0	1	0	2	0	2	274	32	288	0	0	2	
1	40964848	41045599	269	38	23	15	35	18	9	0	3	2	2	1	5	233	21	68	0	0	1	
1	41045653	41138004	225	15	27	2	9	20	0	5	1	5	1	0	2	200	43	64	8	8	0	
1	41138007	41247614	222	2	12	0	0	9	0	2	0	2	0	0	0	275	31	144	4	4	2	
1	41247675	41376081	191	19	3	1	16	1	0	1	1	2	0	1	0	206	43	68	0	0	3	
1	41376164	41509983	174	25	21	2	22	19	1	2	0	1	1	1	0	121	25	80	2	2	0	
1	41510095	41677219	166	27	7	6	24	4	4	1	1	2	1	0	2	141	24	35	1	1	1	
1	41677328	41810290	216	15	8	17	9	5	11	2	4	1	2	4	1	232	29	43	2	2	1	
1	41810300	41908552	210	9	19	10	2	11	5	4	3	5	2	2	3	204	42	68	1	1	3	
1	41908582	41995112	304	12	4	2	10	1	1	1	0	2	1	0	1	357	27	30	7	7	1	
1	41995120	42109549	265	59	1	2	58	0	1	1	0	0	1	0	0	286	88	44	11	11	1	
1	42109556	42232090	184	5	34	0	3	32	0	2	0	1	0	0	0	187	125	54	24	24	9	
1	42232278	42341615	165	4	10	11	2	8	8	0	1	1	1	1	2	183	130	55	27	27	5	
1	42341664	42499495	221	2	117	2	0	113	0	2	0	2	2	0	1	111	54	34	3	3	1	
1	42499646	42618885	216	32	6	2	30	3	0	1	0	1	2	1	1	170	25	177	2	2	1	
1	42618904	42711653	165	11	13	21	6	10	17	1	4	2	0	3	1	167	31	98	2	2	1	
1	42711693	42829447	203	1	19	5	0	17	3	1	0	1	1	0	1	256	29	41	2	2	1	
1	42829529	42957100	247	1	98	2	0	96	1	1	0	1	1	0	0	155	30	25	1	1	2	
1	42957154	43054334	217	1	17	21	0	13	17	0	1	0	3	1	3	229	36	15	1	1	1	
1	43054460	43134443	224	8	19	9	4	14	6	3	1	2	2	1	2	244	13	5	1	1	1	
1	43134490	43238289	186	7	18	4	4	15	1	1	1	2	1	1	2	185	9	78	2	2	1	
1	43238472	43371888	305	0	5	0	0	4	0	0	0	0	0	0	0	339	12	51	0	0	0	
1	43371981	43493664	258	0	7	2	0	5	0	0	0	0	1	0	2	293	21	49	2	2	3	
1	43493700	43609046	250	14	8	9	9	2	4	3	1	2	4	3	2	289	22	58	1	1	0	
1	43609111	43709777	209	7	14	5	4	10	2	2	1	2	2	0	2	228	81	33	2	2	0	
1	43709802	43799227	249	12	12	8	7	7	3	2	3	2	2	3	2	292	40	4	5	5	0	
1	43799859	43877214	219	5	5	9	3	4	6	0	2	0	0	2	1	278	64	96	10	10	10	
1	43877225	43960218	228	0	3	1	0	1	0	0	0	0	1	0	1	283	30	208	1	1	1	
1	43960242	44057120	207	9	20	4	4	14	0	2	2	4	2	1	3	216	54	76	2	2	0	
1	44057294	44157325	212	2	12	2	0	8	0	1	1	2	1	0	2	252	26	95	2	2	1	
1	44157400	44275010	209	3	3	3	1	1	1	0	1	1	1	1	1	293	20	73	1	1	1	
1	44275146	44363448	161	8	3	6	6	0	3	1	1	1	1	1	2	198	105	101	12	12	3	
1	44363463	44486101	276	0	4	0	0	3	0	0	0	0	0	0	0	299	121	123	5	5	2	
1	44487036	44598000	214	0	41	2	0	38	0	0	0	0	2	0	2	204	68	116	2	2	5	
1	44598036	44687390	234	0	29	0	0	28	0	0	0	0	0	0	0	263	28	45	3	3	2	
1	44687503	44767096	218	1	2	7	0	0	6	1	0	1	1	0	0	343	31	52	3	3	4	
1	44767135	44877613	191	13	26	11	10	24	9	2	1	1	0	2	0	168	40	55	4	4	4	
1	44877706	44973146	220	13	29	6	9	27	2	1	3	1	1	2	1	209	57	44	3	3	3	
1	44973222	45094656	308	5	15	4	3	13	2	1	1	2	0	0	1	361	26	55	5	5	5	
1	45094719	45188112	232	2	4	19	1	2	18	1	0	0	1	0	1	281	19	55	3	3	0	
1	45188135	45274727	200	15	14	10	9	8	6	4	1	4	2	2	2	191	27	23	1	1	3	
1	45274915	45347840	199	1	1	17	0	0	15	0	0	0	1	1	1	263	32	102	3	3	1	
1	45347846	45457184	266	1	5	5	0	3	2	0	1	0	2	1	1	350	45	137	2	2	3	
1	45457244	45557800	169	1	20	26	0	16	21	0	1	1	3	0	4	194	63	71	12	12	2	
1	45558384	45714068	181	4	4	3	1	0	0	1	1	3	1	0	3	217	20	86	1	1	0	
1	45714129	45833497	250	1	7	2	0	3	0	1	0	1	2	0	2	327	57	81	5	5	4	
1	45833669	45933030	236	2	9	5	0	7	2	0	2	1	1	1	1	271	89	80	4	4	3	
1	45933041	46061399	139	6	33	8	1	28	4	3	2	3	2	1	2	84	56	25	4	4	3	
1	46061435	46175908	197	2	8	4	1	5	1	1	0	0	3	1	1	232	8	22	0	0	0	
1	46175919	46291130	173	13	27	4	8	21	1	4	1	4	2	1	1	139	68	39	7	7	1	
1	46291164	46399671	187	0	33	11	0	30	7	0	0	0	3	0	3	195	57	46	4	4	2	
1	46399683	46524650	227	10	14	4	7	10	2	3	0	1	2	2	0	258	32	108	3	3	2	
1	46524724	46681820	183	15	32	15	10	27	9	2	3	2	3	3	2	112	3	87	1	1	1	
1	46681919	46798591	204	8	22	12	5	16	7	2	1	2	3	1	4	222	8	22	0	0	0	
1	46798652	46894790	203	12	15	17	8	8	12	3	1	2	4	2	3	238	70	22	4	4	1	
1	46894858	47002420	153	15	30	18	10	22	11	2	3	4	3	1	6	108	31	7	1	1	1	
1	47002424	47121367	210	16	38	3	9	28	0	7	0	7	3	0	2	126	18	18	1	1	0	
1	47121444	47271931	241	1	2	11	0	0	7	0	1	0	2	1	2	343	10	22	3	3	2	
1	47272134	47399988	258	0	48	2	0	45	0	0	0	0	2	0	2	279	27	12	0	0	0	
1	47400011	47505556	211	1	19	2	0	15	0	1	0	1	2	0	2	240	15	15	2	2	2	
1	47505579	47632911	256	1	23	11	0	20	9	1	0	0	2	1	1	221	10	167	1	1	0	
1	47632940	47772794	288	0	19	3	0	15	0	0	0	0	3	0	3	313	18	29	0	0	0	
1	47772812	47954778	143	2	6	0	0	4	0	1	0	2	0	0	0	142	33	184	0	0	1	
1	47954833	48099998	144	0	1	46	0	0	45	0	0	0	1	0	0	150	51	217	0	0	4	
1	48100097	48240500	130	2	17	91	0	14	87	1	1	0	2	2	2	101	75	47	1	1	0	
1	48240578	48359349	139	48	9	3	42	3	0	3	2	5	1	1	2	69	40	31	1	1	0	
1	48359373	48496734	172	31	8	6	26	2	3	4	1	3	2	1	2	116	33	24	1	1	0	
1	48496847	48661007	190	5	61	4	4	58	1	0	0	0	3	1	2	131	27	12	0	0	0	
1	48661046	48762472	198	17	11	8	11	7	2	3	3	1	3	4	1	220	47	11	10	10	1	
1	48762534	48873316	207	11	6	1	7	2	0	3	0	3	1	1	0	256	78	102	3	3	2	
1	48873348	48990374	149	16	15	0	14	14	0	1	0	1	0	0	0	145	220	92	22	22	4	
1	48990461	49069662	188	6	12	25	3	10	24	2	0	1	1	1	0	232	109	160	16	16	15	
1	49069793	49170621	222	3	52	11	1	48	7	1	1	1	3	0	3	258	173	47	78	78	0	
1	49170628	49279882	243	3	56	8	0	53	3	0	2	1	2	2	3	211	45	33	8	8	5	
1	49279925	49349962	264	1	46	6	0	44	4	0	0	0	2	1	1	317	50	8	12	12	0	
1	49350044	49447969	224	2	0	11	0	0	8	0	2	0	0	2	0	257	52	89	5	5	11	
1	49448041	49560796	247	1	10	3	0	7	1	1	0	1	2	0	1	276	37	33	4	4	2	
1	49560809	49663689	215	27	7	8	23	3	6	2	2	3	0	1	1	250	42	18	3	3	2	
1	49663711	49768433	236	6	9	6	2	5	3	3	1	1	2	2	1	294	108	17	23	23	3	
1	49768434	49859681	270	0	5	7	0	2	4	0	0	0	3	0	2	341	31	18	1	1	0	
1	49859862	49942093	272	12	8	8	8	4	5	2	2	2	1	2	1	327	72	25	19	19	0	
1	49942123	50031408	171	14	13	21	11	9	14	1	2	0	4	3	3	205	54	6	5	5	0	
1	50031506	50123476	206	10	5	1	7	2	0	2	0	2	1	1	0	234	61	14	7	7	0	
1	50123497	50234889	161	7	19	3	3	16	1	2	2	2	0	2	0	134	143	28	34	34	1	
1	50234948	50322138	200	3	2	3	2	1	2	1	0	0	1	0	0	270	299	18	58	58	0	
1	50322152	50400614	272	155	37	0	151	34	0	3	0	3	0	0	0	183	33	27	1	1	0	
1	50400637	50507934	261	137	4	2	134	0	0	2	1	2	1	0	2	259	39	95	5	5	1	
1	50508296	50600744	265	1	54	0	0	52	0	1	0	1	0	0	0	231	45	245	3	3	3	
1	50600795	50691741	249	1	46	0	0	44	0	1	0	1	0	0	0	251	21	136	3	3	2	
1	50691770	50778201	217	0	87	5	0	85	4	0	0	0	1	0	1	150	23	183	3	3	1	
1	50778453	50826904	155	0	2	45	0	0	42	0	0	0	2	0	2	178	5	280	0	0	0	
1	50826928	50869465	85	1	3	160	0	0	156	0	1	1	2	0	3	116	43	84	16	16	4	
1	50869578	50960336	201	2	5	30	1	4	29	0	0	1	0	0	1	238	70	168	13	13	1	
1	50960381	51076395	254	0	8	13	0	6	12	0	0	0	1	0	1	291	42	64	1	1	0	
1	51076398	51182704	196	0	7	6	0	4	4	0	0	0	2	0	2	225	28	30	0	0	2	
1	51182715	51303210	259	13	7	5	9	2	1	2	2	3	1	1	3	230	25	71	2	2	1	
1	51303241	51411155	249	1	15	0	0	13	0	1	0	1	0	0	0	245	38	217	2	2	3	
1	51411318	51539242	247	0	63	1	0	61	0	0	0	0	1	0	1	189	29	133	0	0	0	
1	51539369	51662892	280	0	17	0	0	16	0	0	0	0	0	0	0	282	19	227	1	1	0	
1	51663147	51811875	266	2	0	4	0	0	2	0	1	0	0	2	0	273	22	186	0	0	1	
1	51811928	51983124	229	0	1	0	0	0	0	0	0	0	0	0	0	262	58	179	4	4	3	
1	51983136	52121174	264	0	2	0	0	1	0	0	0	0	0	0	0	324	69	146	2	2	0	
1	52121215	52267902	254	0	1	1	0	0	0	0	0	0	0	0	1	298	68	111	11	11	2	
1	52268138	52436094	157	2	29	1	0	25	0	2	0	2	1	0	1	131	87	23	0	0	0	
1	52436134	52567454	222	2	2	1	0	0	0	1	1	1	0	0	1	298	139	23	19	19	2	
1	52567598	52752183	227	23	3	2	20	1	0	1	1	1	1	2	0	221	103	13	3	3	1	
1	52752499	52968446	208	5	0	1	4	0	0	0	1	0	0	0	0	217	61	26	4	4	2	
1	52968526	53117118	192	2	1	0	1	0	0	1	0	0	0	0	0	225	39	39	2	2	0	
1	53117355	53276689	212	2	35	0	1	33	0	1	0	1	0	0	0	191	58	39	1	1	2	
1	53276740	53364017	214	6	9	18	1	5	15	3	1	2	2	2	1	274	114	19	14	14	5	
1	53364123	53493223	205	10	43	0	7	39	0	3	0	3	0	0	0	155	27	24	2	2	1	
1	53493306	53650084	191	35	4	4	29	0	0	3	2	3	1	3	1	117	19	35	1	1	0	
1	53650158	53772655	274	10	21	2	8	19	0	2	0	0	1	2	0	294	31	17	3	3	1	
1	53772669	53887535	281	5	78	1	3	74	0	2	0	2	1	0	1	208	63	14	0	0	3	
1	53887660	54001964	257	0	63	1	0	61	0	0	0	0	1	0	1	218	48	41	1	1	0	
1	54002112	54099323	261	0	11	0	0	10	0	0	0	0	0	0	0	292	48	193	3	3	4	
1	54099514	54198138	147	14	12	1	12	10	0	0	1	2	0	0	1	149	81	12	4	4	3	
